Rate,K,Dist,Plan,Policy,Scenario,Run,Accepted,% Accepted,Avg D Time,Max D Time,P80 D Time,P90 D Time,P95 D Time
1.5,10,UTI,pb,11,1,1,305,0.354651,13.8053,40.258,35.305,38.183,39
1.5,10,UTI,pb,11,1,3,302,0.351163,13.4642,40.783,34.422,37.344,38.218
1.5,10,UTI,pb,11,1,2,297,0.345349,13.6454,41.225,36.15,39.291,39.974
1.5,10,UTI,pb,11,1,8,294,0.34186,13.4125,40.288,35.584,38.408,39.135
1.5,10,UTI,pb,11,1,4,291,0.338372,13.4645,40.349,35.572,38.419,39.132
1.5,10,UTI,pb,11,1,5,301,0.35,13.6395,40.435,34.66,38.522,39.193
1.5,10,UTI,pb,11,1,6,288,0.334884,12.8086,40.79,34.575,38.144,39.036
1.5,10,UTI,pb,11,1,7,304,0.353488,13.8291,40.378,35.345,38.273,38.972
1.5,10,UTI,pb,11,1,9,296,0.344186,13.3523,41.188,35.552,38.536,39.244
1.5,10,UTI,pb,11,1,10,297,0.345349,13.4643,40.311,35.215,37.961,38.881
1.5,10,UTI,pb,11,1,11,301,0.35,13.8426,40.358,35.195,38.261,38.946
1.5,10,UTI,pb,11,1,13,301,0.35,13.6493,40.007,35.035,38.158,39.1
1.5,10,UTI,pb,11,1,12,299,0.347674,14.0652,40.159,34.812,37.864,38.867
1.5,10,UTI,pb,11,1,14,296,0.344186,12.776,40.208,35.246,38.635,39.084
1.5,10,UTI,pb,11,1,15,296,0.344186,13.4611,40.554,35.595,38.81,39.285
1.5,20,UTI,pb,11,1,1,522,0.606977,82.1057,1026.8,149.806,155.995,158.409
1.5,20,UTI,pb,11,1,3,540,0.627907,81.4335,1226.38,145.654,152.93,156.249
1.5,20,UTI,pb,11,1,7,532,0.618605,80.268,788.884,144.173,148.377,150.904
1.5,20,UTI,pb,11,1,2,523,0.60814,79.955,1099.22,146.319,152.216,155.864
1.5,20,UTI,pb,11,1,4,532,0.618605,79.9164,1229.61,143.086,149.891,153.129
1.5,20,UTI,pb,11,1,12,513,0.596512,78.9616,1094.17,145.441,150.534,153.198
1.5,20,UTI,pb,11,1,5,525,0.610465,77.6979,1092.06,141.275,146.946,148.907
1.5,20,UTI,pb,11,1,6,536,0.623256,80.9336,1220.58,142.992,148.405,150.653
1.5,20,UTI,pb,11,1,8,528,0.613953,80.55,1091.38,143.658,150.338,152.471
1.5,20,UTI,pb,11,1,9,521,0.605814,81.4999,1029.01,148.304,155.23,157.367
1.5,20,UTI,pb,11,1,10,537,0.624419,82.2654,1230.71,148.49,153.803,156.773
